cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
542-85-8,异硫氰酸乙酯,Ethylisothiocyanate,毕得,5g,5,g,1,339,not_stocked,wanghongye,
108-78-1,三聚氰胺,Melamine,罗恩,100g,100,g,1,337,not_found,mengjunhong,
,塑料液相管 内衬管 1.5ml/2ml 进样瓶内插管 色谱螺口瓶套管,,"
辅铭",1000个/包,,,1,336,not_stocked,xuguofeng,
1193-02-8,,,毕得,5g,5,g,1,336,not_stocked,dairongheng,
3018-12-0,二氯乙腈,Dichloroacetonitrile,"
阿拉丁",5g,5,g,1,334,not_stocked,chenlei,
2434-56-2,"4,6-二氨基嘧啶","4,6-Diaminopyrimidine",毕得,1g,1,g,1,330,not_stocked,zhanghongliang,
82998-57-0,3-碘-4-甲基苯甲酸,3-Iodo-4-methylbenzoic acid,毕得,5g,5,g,1,324,not_stocked,xuguofeng,
87199-16-4,3-甲酰基苯硼酸,,毕得,5g,5,g,1,324,not_stocked,xuguofeng,
79-37-8,草酰氯,,阿拉丁,25g,25,g,1,318.98,running_out,zhaoxinyi,
1979/1/6,三氯乙烯,Trichloroethylene,,100 ml,100,mL,1,313.5,not_stocked,chenlei,
912773-24-1,,"6-Bromoimidazo[1,2-a]pyrazine",毕得,250mg,250,mg,1,312,not_stocked,admin,
2163-42-0,"2-甲基-1,3-丙二醇","2-Methyl-1,3-propanediol",毕得,25g,25,g,1,311.25,not_stocked,lvbin,
534-17-8,碳酸铯,Cesium carbonate,毕得,25g,25,g,1,311.25,running_out,admin,
4701-17-1,5-溴噻吩-2-甲醛,5-Bromothiophene-2-carbaldehyde,毕得,5g,5,g,1,308,running_out,sulingyu,
121-45-9,亚磷酸三甲酯,TrimethylPhosphite,阿拉丁,100ml,100,mL,1,298.8,not_stocked,lvbin,
534-17-8,碳酸铯,Cesium carbonate,毕得,25g,25,g,1,296.25,running_out,admin,
1972-28-7,偶氮二甲酸二乙酯,Diethyl Azodicarboxylate,毕得,25g',,,1,296.25,running_out,zhuminghui,
583-55-1,,,,,,,1,295.5,not_stocked,admin,
25561-30-2,"N,O-双(三甲基硅烷基)三氟乙酰胺","N,O-Bis(trimethylsilyl)trifluoroacetamide","毕得	",25g,25,g,1,284.4,not_stocked,wanghongye,
121-44-8,三乙胺,,阿拉丁,500mL,500,mL,1,282,running_out,xuguofeng,
123-68-2,己酸烯丙酯, Allyl hexanoate,毕得,25g,25,g,1,278,not_stocked,admin,
6153-44-2,"2,6-二氧基-1,2,3,6-四氢嘧啶-4-羧酸甲酯","Methyl 2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylate",毕得,1g,1,g,1,277,not_stocked,zhanghongliang,
1034-39-5,二溴三苯基膦,TRIPHENYLPHOSPHINE DIBROMIDE,毕得,5 g,5,g,1,273,not_stocked,lvbin,
